33,3
89,4
50,3
46,3
65,4
34,3
97,5
25,3
62,4
5,1
12,2
88,4
64,4
43,3
8,1
74,4
34,3
2,1
95,5
77,4
83,5
5,1
60,4
36,3
37,3
63,4
70,4
45,3
99,5
51,4
10,1
73,4
70,4
15,2
29,3
34,3
47,3
70,4
70,4
59,4
89,4
33,3
42,3
19,2
56,4
27,3
90,4
71,4
92,5
30,3
25,3
61,4
42,3
100,5
76,4
85,4
56,4
80,4
24,3
47,3
58,4
3,1
91,5
99,5
76,4
1,1
73,4
80,4
26,3
36,3
37,3
14,2
74,4
65,4
78,4
96,5
86,4
18,2
8,1
47,3
59,4
35,3
6,1
39,3
61,4
18,2
20,2
59,4
48,3
57,4
86,4
31,3
72,4
60,4
17,2
12,2
32,3
7,1
80,4
31,3
70,4
56,4
78,4
49,3
9,1
88,4
15,2
51,4
84,4
52,4
41,3
49,3
60,4
81,4
26,3
73,4
10,1
100,5
80,4
99,5
29,3
48,3
17,2
3,1
78,4
0,1
11,2
70,4
91,5
7,1
31,3
35,3
66,4
81,4
42,3
3,1
34,3
67,4
26,3
44,3
59,4
94,5
45,3
8,1
68,4
93,5
32,3
16,2
100,5
39,3
92,5
78,4
74,4
68,4
15,2
89,4
56,4
86,4
72,4
42,3
44,3
71,4
38,3
26,3
47,3
96,5
42,3
88,4
43,3
14,2
86,4
24,3
87,4
61,4
100,5
29,3
56,4
86,4
30,3
9,1
4,1
57,4
74,4
89,4
10,1
82,4
42,3
49,3
21,3
80,4
63,4
77,4
73,4
9,1
32,3
32,3
53,4
33,3
64,4
40,3
20,2
13,2
1,1
49,3
62,4
0,1
12,2
28,3
47,3
37,3
18,2
5,1
3,1
44,3
49,3
36,3
59,4
83,4
66,4
22,3
48,3
90,4
38,3
14,2
77,4
6,1
50,3
2,1
87,4
75,4
83,4
88,4
86,4
54,4
29,3
3,1
13,2
82,4
18,2
11,2
0,1
75,4
85,4
18,2
65,4
79,4
95,5
79,4
1,1
85,4
71,4
52,4
59,4
40,3
36,3
53,4
57,4
89,4
76,4
41,3
95,5
46,3
28,3
9,1
91,5
31,3
20,2
34,3
38,3
55,4
96,5
32,3
53,4
96,5
1,1
11,2
79,4
93,5
57,4
28,3
31,3
1,1
86,4
45,3
90,4
19,2
4,1
27,3
35,3
12,2
33,3
28,3
94,5
12,2
33,3
33,3
56,4
79,4
10,1
36,3
1,1
53,4
85,4
18,2
87,4
67,4
88,4
78,4
26,3
14,2
45,3
27,3
52,4
39,3
23,3
15,2
47,3
97,5
17,2
75,4
4,1
88,4
58,4
73,4
89,4
28,3
97,5
10,1
45,3
59,4
13,2
67,4
50,3
98,5
53,4
46,3
22,3
98,5
86,4
14,2
7,1
14,2
12,2
27,3
40,3
89,4
95,5
21,3
99,5
3,1
55,4
93,5
71,4
8,1
68,4
70,4
91,5
78,4
14,2
19,2
18,2
50,3
65,4
77,4
50,3
15,2
57,4
2,1
57,4
60,4
47,3
19,2
26,3
28,3
64,4
96,5
33,3
45,3
1,1
48,3
40,3
81,4
99,5
12,2
74,4
93,5
57,4
79,4
99,5
1,1
45,3
0,1
24,3
36,3
33,3
66,4
73,4
24,3
81,4
83,4
86,4
59,4
48,3
85,4
17,2
95,5
96,5
17,2
64,4
37,3
34,3
52,4
93,5
100,5
49,3
28,3
3,1
68,4
98,5
30,3
20,2
96,5
17,2
62,4
77,4
25,3
71,4
89,4
84,4
12,2
84,4
33,3
98,5
52,4
20,2
7,1
77,4
5,1
72,4
63,4
57,4
79,4
70,4
71,4
11,2
96,5
8,1
35,3
45,3
10,1
66,4
29,3
